sample,datetime,wtemp_p_1,wtrhgt__2,batt_mi_3
413,08/30/2015 05:10:00,23.8,-1,3.55
414,08/30/2015 05:15:00,23.8,-1,3.55
415,08/30/2015 05:20:00,23.8,-1,3.55
416,08/30/2015 05:25:00,23.8,-1,3.55
417,08/30/2015 05:30:00,23.8,-1,3.55
418,08/30/2015 05:35:00,23.8,-1,3.55
419,08/30/2015 05:40:00,23.8,-1,3.55
420,08/30/2015 05:45:00,23.8,-1,3.55
421,08/30/2015 05:50:00,23.8,-1,3.55
422,08/30/2015 05:55:00,23.8,-1,3.55
423,08/30/2015 06:00:00,23.8,-1,3.55
424,08/30/2015 06:05:00,23.8,-1,3.55
425,08/30/2015 06:10:00,23.8,-1,3.55
426,08/30/2015 06:15:00,23.8,-1,3.55
427,08/30/2015 06:20:00,23.8,-1,3.55
428,08/30/2015 06:25:00,23.8,-1,3.55
429,08/30/2015 06:30:00,23.8,-1,3.55
430,08/30/2015 06:35:00,23.8,-1,3.55
431,08/30/2015 06:40:00,23.8,-1,3.55
432,08/30/2015 06:45:00,23.8,-1,3.55
433,08/30/2015 06:50:00,23.8,-1,3.55
434,08/30/2015 06:55:00,23.8,-1,3.55
435,08/30/2015 07:00:00,23.8,-1,3.55
436,08/30/2015 07:05:00,23.8,-1,3.55
437,08/30/2015 07:10:00,23.8,-1,3.55
438,08/30/2015 07:15:00,23.8,-1,3.55
439,08/30/2015 07:20:00,23.8,-1,3.55
440,08/30/2015 07:25:00,23.8,-1,3.55
441,08/30/2015 07:30:00,23.8,-1,3.55
442,08/30/2015 07:35:00,23.8,-1,3.55
443,08/30/2015 07:40:00,23.8,-1,3.55
444,08/30/2015 07:45:00,23.8,-1,3.55
445,08/30/2015 07:50:00,23.8,-1,3.55
446,08/30/2015 07:55:00,23.8,-1,3.55
447,08/30/2015 08:00:00,23.8,-1,3.55
448,08/30/2015 08:05:00,23.8,-1,3.55
449,08/30/2015 08:10:00,23.8,-1,3.55
450,08/30/2015 08:15:00,23.8,-1,3.55
451,08/30/2015 08:20:00,23.8,-1,3.55
452,08/30/2015 08:25:00,23.8,-1,3.55
453,08/30/2015 08:30:00,23.8,-1,3.55
454,08/30/2015 08:35:00,23.8,-1,3.55
455,08/30/2015 08:40:00,23.8,-1,3.55
456,08/30/2015 08:45:00,23.8,-1,3.55
457,08/30/2015 08:50:00,23.8,-1,3.55
458,08/30/2015 08:55:00,23.8,-1,3.55
459,08/30/2015 09:00:00,23.8,-1,3.55
460,08/30/2015 09:05:00,23.8,-1,3.55
461,08/30/2015 09:10:00,23.8,-1,3.55
462,08/30/2015 09:15:00,23.8,-1,3.55
463,08/30/2015 09:20:00,23.8,-1,3.55
464,08/30/2015 09:25:00,23.8,-1,3.55
465,08/30/2015 09:30:00,23.8,-1,3.55
466,08/30/2015 09:35:00,23.8,-1,3.55
467,08/30/2015 09:40:00,23.8,-1,3.55
468,08/30/2015 09:45:00,23.8,-1,3.55
469,08/30/2015 09:50:00,23.8,0,3.55
470,08/30/2015 09:55:00,23.8,0,3.55
471,08/30/2015 10:00:00,23.8,0,3.55
472,08/30/2015 10:05:00,23.8,0,3.55
473,08/30/2015 10:10:00,23.8,-1,3.55
474,08/30/2015 10:15:00,23.8,0,3.55
475,08/30/2015 10:20:00,23.8,0,3.55
476,08/30/2015 10:25:00,23.8,-1,3.55
477,08/30/2015 10:30:00,23.8,-1,3.55
478,08/30/2015 10:35:00,23.8,-1,3.55
479,08/30/2015 10:40:00,23.8,-1,3.55
480,08/30/2015 10:45:00,23.8,-1,3.56
481,08/30/2015 10:50:00,23.8,-1,3.55
482,08/30/2015 10:55:00,23.8,-1,3.55
483,08/30/2015 11:00:00,23.8,-1,3.55
484,08/30/2015 11:05:00,23.8,-1,3.56
485,08/30/2015 11:10:00,23.8,-1,3.56
486,08/30/2015 11:15:00,23.8,-1,3.55
487,08/30/2015 11:20:00,23.8,-1,3.55
488,08/30/2015 11:25:00,23.8,-1,3.55
489,08/30/2015 11:30:00,23.8,-1,3.55
490,08/30/2015 11:35:00,23.8,-1,3.55
491,08/30/2015 11:40:00,23.8,-1,3.55
492,08/30/2015 11:45:00,23.8,-1,3.55
493,08/30/2015 11:50:00,23.8,-1,3.55
494,08/30/2015 11:55:00,23.8,-1,3.55
495,08/30/2015 12:00:00,23.8,-1,3.55
496,08/30/2015 12:05:00,23.8,-1,3.55
497,08/30/2015 12:10:00,23.8,-1,3.55
498,08/30/2015 12:15:00,23.8,-1,3.56
499,08/30/2015 12:20:00,23.8,-1,3.55
500,08/30/2015 12:25:00,23.8,-1,3.56
501,08/30/2015 12:30:00,23.8,-1,3.55
502,08/30/2015 12:35:00,23.8,-1,3.56
503,08/30/2015 12:40:00,23.8,-1,3.56
504,08/30/2015 12:45:00,23.8,-1,3.56
505,08/30/2015 12:50:00,23.8,-1,3.56
506,08/30/2015 12:55:00,23.8,-1,3.56
507,08/30/2015 13:00:00,23.8,-1,3.56
508,08/30/2015 13:05:00,23.8,-1,3.56
509,08/30/2015 13:10:00,23.8,-1,3.56
510,08/30/2015 13:15:00,23.8,-1,3.56
511,08/30/2015 13:20:00,23.8,-1,3.56
512,08/30/2015 13:25:00,23.8,-1,3.56
513,08/30/2015 13:30:00,23.8,-1,3.56
514,08/30/2015 13:35:00,23.8,-1,3.56
515,08/30/2015 13:40:00,23.8,-1,3.56
516,08/30/2015 13:45:00,23.8,-1,3.56
517,08/30/2015 13:50:00,23.8,-1,3.56
518,08/30/2015 13:55:00,23.8,-1,3.56
519,08/30/2015 14:00:00,23.8,-1,3.56
520,08/30/2015 14:05:00,23.8,-1,3.56
521,08/30/2015 14:10:00,23.8,-1,3.56
522,08/30/2015 14:15:00,23.8,-1,3.56
523,08/30/2015 14:20:00,23.8,-1,3.56
524,08/30/2015 14:25:00,23.8,-1,3.56
525,08/30/2015 14:30:00,23.8,-1,3.56
526,08/30/2015 14:35:00,23.8,-1,3.56
527,08/30/2015 14:40:00,23.8,-1,3.56
528,08/30/2015 14:45:00,23.8,-1,3.56
529,08/30/2015 14:50:00,23.8,-1,3.56
530,08/30/2015 14:55:00,23.8,-1,3.56
531,08/30/2015 15:00:00,23.8,-2,3.56
532,08/30/2015 15:05:00,23.8,-1,3.56
533,08/30/2015 15:10:00,23.8,-2,3.56
534,08/30/2015 15:15:00,23.8,-2,3.56
